,index,created_at,id,text,partei,score,Stimmung
658,0,2022-09-09 06:33:01,1568125305956483073,#oevp https://t.co/jS1OfMjEgW,ÖVP,0.0,neutral
659,1,2022-09-09 06:30:16,1568124613539905539,"#ÖVP und #Grüne wissen das, deshalb wurde auch schon das #Militär angewiesen die Polizei zu unterstützen.
Es wird gegen das eigene Volk vorgegangen‼️ https://t.co/IM18ta8XY8",ÖVP,0.0,neutral
660,2,2022-09-09 06:29:23,1568124389987688449,"@RichardSchmitt2 Das die Grünen alle und jeden alimentieren ist ja klar aber wo bitte waren da die Hirne der #ÖVP? 

Häfnbrüder, Asylwerber &amp; Co deren Lebenserhaltung eh bezahlt wird und die keine hohen Energieskosten zu stemmen haben zu alimentieren. Wie blöd kann man sein!",ÖVP,0.0,neutral
661,3,2022-09-09 06:18:40,1568121693595377664,@ThomasWalach Dass letzte Mal als die #ÖVP die Koalition sprengte war als das #Ibiza Video aufkam! War das Video von der #SPÖ? Oder vertun Sie sich nur und Sie meinten nicht das letzte Mal!,ÖVP,0.0,neutral
662,4,2022-09-09 06:18:18,1568121602524463104,"In Zwischenzeit betreibt Innenminister Karner und #ÖVP Schattenboxen, eigentliche Probleme greift er nicht an.

Wo ist menschenwürdige Unterbringung? Warum funktioniert Verteilung un Bundesländer nicht? Wo bleiben Schnellverfahren für Syrer:innen?",ÖVP,0.0,neutral
663,5,2022-09-09 06:08:36,1568119158990053376,"Von der #PVA einen Brief bekommen, ich darf bis 65 als FSBA arbeiten. Mit 65 100+kg Menschen im Bett pflegen..   Des möchte ich sehen wie des funktionierten soll. Man fragt sich was sich die Politik dabei denkt, ned jeder kann im Arztzimmer rumsitzen @johannes_rauch #ÖVP #OEVP",ÖVP,0.0,neutral
664,6,2022-09-09 05:41:14,1568112274140798977,"@rendiwagner wird die undankbare Aufgabe erhalten, den Karren, den die #oevp und @diegruenen in den Dreck gezogen haben, wieder flottzumachen. Leicht wird das nicht, aber eine Chance hat sie verdient, denn schlechter als @karlnehammer und @WKogler wird sie es sicher nicht machen. https://t.co/4Fk0ulsDpt",ÖVP,0.0,neutral
665,7,2022-09-09 05:40:29,1568112083803275264,@ThomasWalach Die @volkspartei möchte nichts mit der @volkspartei zu tun haben. Nichts davon hilft. #korruption und #rassismus hängt für immer diesem Verein nach. #oevp #mattel #tirol #nehammer #kurz #schmid #sachslehner,ÖVP,0.0,neutral
666,8,2022-09-09 05:35:12,1568110755131658240,"Es ist die #oevp, die unsere Verfassung, das Fundament unserer Gesellschaft mit Füßen tritt. Missachtung von höchstgerichtlichen Urteilen und die mehrmalige Verweigerung, Anordnungen der Staatsanwaltschaft Folge zu leisten. Dass @diegruenen hier zuschauen ist untragbar",ÖVP,0.0,neutral
667,9,2022-09-08 22:48:12,1568008328818860032,@MichelJungwirth Details über diesen #oevp-Politiker #sobotka dürfte der damalige Prince of Wales ziemlich sicher nicht gekannt haben.,ÖVP,0.0,neutral
668,0,2022-09-09 06:41:33,1568127450495832064,"@ChristineKarbus @RichardSchmitt2 @diegruenen Das hängt mit dem Bildungsstand + IQ , aber auch mit weltoffener Erziehung zu tun. 
Wenn 2 dieser 3 Dinge fehlen kippen Alle nach ""Rechts""!
Und nein! Er wird es nicht verstehen!!
Wenn Alle 3 fehlen wählen's dann #FPÖ ,und informieren sich im #EXXPRESS o. Auf #Telegram !",FPÖ,0.0,neutral
669,1,2022-09-09 06:40:32,1568127194332807168,"Zanetti findet nichts dabei, beim Sommerfest der Nazis des #Compactmagazin aufzutreten. Dann ist es natürlich auch ok mit #maassen und Gauland #fckafd, beim Sommerfest von Köppel #weltwoche zu erscheinen.
#Reichsbürger 
#Faschisten
#SVP
#FPÖ
#achgut https://t.co/I0sIUCXN1J https://t.co/mwu2cwZM0M",FPÖ,0.0,neutral
670,2,2022-09-09 06:30:33,1568124682146045952,@JohannSchnei Mathematik ist leider nicht gerade die Stärke der #FPOE!,FPÖ,0.0,neutral
671,3,2022-09-09 06:29:40,1568124460225466370,@JohannSchnei Schwachdenker-Partei spricht Schwachdenker an #FPÖ 🤷,FPÖ,0.0,neutral
672,4,2022-09-08 21:39:34,1567991054988906497,"Die #FPÖ ist dagegen, weil sie prinzipiell immer dagegen ist. Da spielt Logik keine Rolle 🤷‍♂️ https://t.co/A3rHPYmbJg",FPÖ,0.0,neutral
673,5,2022-09-08 21:22:38,1567986797195534337,"Oe24 Bundespräsidenten-Wahl
Umfrage ohne Beinschab Tool
Beinschab Umfrage die Vorbereitung für Wahlbetrug?
#SPÖ
#Fpö
#ÖVP
#NEOS
#Gruenen https://t.co/TPIN3nrAvu",FPÖ,0.0,neutral
674,6,2022-09-08 18:43:23,1567946718909501443,Neues aus der #FPÖ. Folge 123. Diesmal Pfand. https://t.co/zIr8pBilCH,FPÖ,0.0,neutral
675,7,2022-09-08 18:17:33,1567940218443173889,"Die #FPÖ weiß nicht, was Pfand bedeutet. https://t.co/rLtV4xNNjn",FPÖ,0.0,neutral
676,8,2022-09-08 18:12:04,1567938836004577284,Bei euch die #AfDimBundestag bei uns die #FPÖ und #rosenkranz https://t.co/h0bY1ebKWl,FPÖ,0.0,neutral
677,9,2022-09-08 18:06:27,1567937426257068032,"Vielleicht sollte jemand der #FPÖ erklären, wie ein #Plastikpfandsystem funktioniert?
Tip: Pfandflaschen nicht wegwerfen.

https://t.co/tq9Umo7vuK https://t.co/LO8PZUMmFz",FPÖ,0.0,neutral
678,0,2022-09-09 06:41:28,1568127430090432513,"Grässlich, in welchen Schlamassel uns die #Gruenen reingebracht haben. Das #Gruene Grauen! #Krise #Insolvenz #Habeck #Habeckumlage #Gasumlage #Inflation #Energiepreise #Wirtschaft #Energie #Gas #Strom",Grüne,0.0,neutral
679,1,2022-09-09 06:40:57,1568127298619981825,"Mit #Geld kann man nicht #heizen, 
mit #Strom schon ... auch wenn viele #Grüne noch immer glauben, das ginge nicht:
#Wärmepumpen
#Elektroradiatoren
#Nachtspeicheröfen

P.S.: Und ja, man kann auch kurz mit Geld heizen. Einfach die Einmalzahlung bar in 5-Euro-Scheinen abheben.",Grüne,0.0,neutral
680,2,2022-09-09 06:40:23,1568127157221695493,"@CheekyBoinc Katastrophe &amp; führt wieder in die Politikverdrossenheit wie vor Jahren wo es einfach vollkommen inhaltslos war was alle von sich gaben.

Es erhärtet sich der Eindruck:
#CDU blanke Polemik Hauptsache contra
#SPD weiss es halt nicht besser
#Grüne zeigt guten Willen
#FDP unerheblich",Grüne,0.0,neutral
681,3,2022-09-09 06:35:03,1568125815702814721,"Das aktuelle #Politbarometer gefällt mir ganz gut: #SPD weiter unter 20%, #Gruene verlieren deutlich &amp; die #FDP nur noch bei 6%. Die #AmpelDesGrauens insgesamt bei unter 50%. Können wir so weitermachen, bitte🙏 Die #FDP verdient übrigens weniger als 5%😉

#IfSG #GesetzderSchande https://t.co/eDORdRGK18",Grüne,0.0,neutral
682,4,2022-09-09 06:34:51,1568125765228568576,"#Hauptslum #Berlin bekommt nicht einmal die einfachsten Dinge hin. Was soll in einer Stadt, in der allen Ernstes #SPD, #Grüne und #Linke „regieren“, auch funktionieren? Barcelona, Amsterdam, London… seit Jahren fest montierte Stellen für E-Roller. Nur Berlin schafft dies nicht. https://t.co/wdD6RRykAm",Grüne,0.0,neutral
683,5,2022-09-09 06:31:29,1568124918180478976,"gelenkt und bewirkt wird und bei die Beteiligten als normale Bürger auftreten?

#Kiezblock #ChangingCitys #Grüne #Demokratiesimulation",Grüne,0.0,neutral
684,6,2022-09-09 06:30:16,1568124613539905539,"#ÖVP und #Grüne wissen das, deshalb wurde auch schon das #Militär angewiesen die Polizei zu unterstützen.
Es wird gegen das eigene Volk vorgegangen‼️ https://t.co/IM18ta8XY8",Grüne,0.0,neutral
685,7,2022-09-09 06:27:10,1568123832837324800,@BriHasselmann #inflation #gruene #gruenermist https://t.co/GJFs3N9GL4,Grüne,0.0,neutral
686,8,2022-09-09 06:26:07,1568123569258872835,"@annachristmann Eine so unqualifizierte Aussage kann nur von einer vom Steuerzahler alimentierten MdB der #Gruene n kommen, die die Wirklichkeit von Millionen deutschen #Gas Kunden ignorieren. Arroganz in Reinkultur.",Grüne,0.0,neutral
687,9,2022-09-09 06:20:26,1568122136128012288,🇨🇭… #Grüne ist… https://t.co/cJJpV3nRSD,Grüne,0.0,neutral
688,0,2022-09-09 03:33:51,1568080217196863490,"Genial FanArt de #Neos ¿Por qué no hay micas así? 

Créditos: @shin_tamazuki en Cobra Kai Store. https://t.co/MyuE1et2Bx",NEOS,0.0,neutral
689,1,2022-09-09 01:07:14,1568043318092627971,Neos Beats Dragonmaids?!? That perfect timing near the end of the video with the Blerp sound lol #anime #konami #geek #nerd #yugioh #masterduel #steam #pcgaming #consolegamer #neos #yugiohgx #motivation #smallstreamer #twitch #twitchaffiliate #twitchstreamer #relax #chill https://t.co/JBX3BZa5QS,NEOS,0.0,neutral
690,2,2022-09-08 21:22:38,1567986797195534337,"Oe24 Bundespräsidenten-Wahl
Umfrage ohne Beinschab Tool
Beinschab Umfrage die Vorbereitung für Wahlbetrug?
#SPÖ
#Fpö
#ÖVP
#NEOS
#Gruenen https://t.co/TPIN3nrAvu",NEOS,0.0,neutral
691,3,2022-09-08 19:03:01,1567951661074886658,"@BJCobber @MarkusMoser6 @barbaratoth @KernChri @rendiwagner Naja von den #NeOS ist nichts anderes zu erwarten. Gut, dass auch die Milser:innen eingesehen haben wie nieveaulos sie damals gewählt haben!",NEOS,0.0,neutral
692,4,2022-09-08 16:53:30,1567919066341580800,"Finale Prognose #ltwTirol

Rekord an Umfragen, die z. T. absurden Unsinn verzapfen. Tante in #Rom glaubt dass sie's besser kann, ist aber sehr alt.

#Mattle #ÖVP 36,2
#SPÖ 17,5
#FPÖ 16,9
#Gruene 10,9
#Neos 8,2
#FRITZ 7
#MFG 2,8
Sonst. 0,5",NEOS,0.0,neutral
693,5,2022-09-08 15:15:00,1567894277044449281,"歩いて歩いて拾う釣り🫡🫡
デカイのは釣れんやったけど
なかなか楽し😎
#gloryfish
#gloryfishplus 
#neos #prototype 
#FLASHUNION 
#アバカスシャッド https://t.co/4oFypiwCPa",NEOS,0.0,neutral
694,6,2022-09-08 13:53:28,1567873757456355328,"Wer ist jetzt fetzendeppat? #Neos

https://t.co/kznZydZrtU",NEOS,0.0,neutral
695,7,2022-09-08 13:14:31,1567863957444083714,💪🤓😎Wir suchen im NEOS Parlamentsklub wieder JuristInnen! zB hier: https://t.co/x1Q3ksXSzd……(Frist 14.9.). Und immer wieder! Auch Initiativbewerbungen willkommen! #NEOS #Aufklärung #Rechtsstaat #Parlament https://t.co/40AwFwZGN1,NEOS,0.0,neutral
696,8,2022-09-08 12:35:28,1567854131330838529,"あみのさんが
しろくまを買ってくれたよ😭♡🐻‍❄️！

本当ありがとうです～！！！

 #Neos https://t.co/I9euJbJ7ID",NEOS,0.0,neutral
697,9,2022-09-08 12:17:03,1567849495983190017,"アバター配布用データを作るツールの使い方を公開しました。
文章にすると面倒に見えますが、わかってしまえばすごく簡単です。後日動画を撮る予定なのでお待ちください。

Avatar Pack Toolで外部サイトに公開するアバターのパッケージを作る方法 https://t.co/Zhj60rVc8p
#neos #NeosVR #Qiita https://t.co/WhNa6JVtll",NEOS,0.0,neutral
698,0,2022-09-10 07:26:21,1568501114454024193,"@ErnstAigner Jedenfalls wird die #SPÖ behaupten, daß AalLLEEe sagen ""Die #SPÖ ist schuld!!!""",SPÖ,0.0,neutral
699,1,2022-09-10 07:25:44,1568500956857245697,"@che99_mike @ThomasAMarx Naja da fragt man sich schon wann die #wksta diese Anordnung eigentlich umsetzen möchte da die #spö Chats und zwar sämtliche weil
""Im öffentlichen Interesse""
(kennt man ja v #övp Chats u #ibizzafalle) aufgrund von Überarbeitung  bis Dato dem UA nicht geliefert werden konnten. https://t.co/S2t77aZczw",SPÖ,0.0,neutral
700,2,2022-09-10 06:53:04,1568492737669857280,Wirbel um Doskozil-Foto auf fremdem Wahlplakat: Die #SPÖ wirft der Liste Rennmayr in Purbach die missbräuchliche Verwendung eines Fotos von Landeshauptmann Doskozil auf einem Wahlplakat vor. Eine g... https://t.co/3dcfUIRv06,SPÖ,0.0,neutral
701,3,2022-09-10 06:35:47,1568488389648826368,Kannst nicht erfinden! Also hat #WienEnergie doch spekuliert? Und die #spö gibt das jetzt indirekt zu? 🤦🏻‍♂️ https://t.co/e0wRNB3GjQ,SPÖ,0.0,neutral
702,4,2022-09-10 06:26:53,1568486147566731264,Die Frage stell  ich  auch! #Dosko  ist die #Laura  der #SPÖ https://t.co/jg1o10R1lo,SPÖ,0.0,neutral
