name,Super98,Super95,Diesel,PLZ,land,bundesland,bezirk,stadt,strasse,datum,zeit,coordinates_X,coordinates_Y
Gutmann ENI Tankstelle,0,1.794,0,6060,at,Tirol,Innsbruck Land,Hall ,Innsbruckerstraße 90,3.11.2022,10:9:43,11.4823698,47.2766173
Lagerhaus-Tankstelle 24 h,0,1.839,2.139,5584,at,Salzburg,Tamsweg,Zederhaus,Zederhaus 107,3.11.2022,10:9:31,13.5148341,47.1483845
Turmöl Tankstelle,0,1.758,2.038,8811,at,Steiermark,Murau,Scheifling,Kärntnerstraße 2,3.11.2022,10:9:38,14.4140374,47.1528366
avanti - Saalfelden Almerstraße 23,0,1.744,0,5760,at,Salzburg,Zell am See,Saalfelden,Almerstrasse 23,3.11.2022,10:9:32,12.85009,47.42305
LSC WENZL GMBH,0,0,2.013,7111,at,Burgenland,Neusiedl am See,Parndorf,"Neudorferstrasse, Betriebsgebiet 2 (Strassenmeisterei Parndorf)",3.11.2022,10:8:41,16.8709332,47.9991587
Diskont Tankstelle,0,1.744,2.026,3580,at,Niederösterreich,Horn,Horn,Pragerstraße 77 (Hofer Parkplatz),3.11.2022,10:8:59,15.640916,48.664169
Egger Wolfgang Internationale Transporte,0,0,2.015,6215,at,Tirol,Schwaz,Achenkirch,Achenkirch 205,3.11.2022,10:9:48,11.7083395,47.5160681
Stadtwerke Leoben,0,1.699,0,8700,at,Steiermark,Leoben,Leoben,Kerpelystraße 34,3.11.2022,10:9:36,15.0823166,47.3746958
SOCAR Faak am See,0,1.714,2.009,9583,at,Kärnten,Villach Land,Faak am See,Seeufer Landesstraße 24,3.11.2022,10:8:49,13.9186409,46.5653186
SOCAR Traisen,0,1.693,1.993,3160,at,Niederösterreich,Lilienfeld,Traisen,Mariazeller Straße 6,3.11.2022,10:9:2,15.60524,48.056097
Genol Lagerhaus Tankstelle,0,0,2.049,3830,at,Niederösterreich,Waidhofen/Thaya,Waidhofen an der Thaya,Raiffeisenstraße 10,3.11.2022,10:9:9,15.276709198951721,48.81313414767661
